,equity,delta
2016-08-31,-13443.5,-1.0
2016-09-01,-13318.5,-1.0
2016-09-02,-13918.5,-1.0
2016-09-06,-14118.5,-1.0
2016-09-07,-14181.0,-1.0
2016-09-08,-14018.5,-1.0
2016-09-09,-11581.0,-1.0
2016-09-12,-12996.5,0.0
2016-09-13,-12999.5,-1.0
2016-09-14,-13055.5,-1.0
2016-09-15,-14280.5,-1.0
2016-09-16,-13768.0,-1.0
2016-09-19,-13783.5,0.0
2016-09-20,-13783.5,0.0
2016-09-21,-13783.5,0.0
2016-09-22,-13783.5,0.0
2016-09-23,-13783.5,0.0
2016-09-26,-13783.5,0.0
2016-09-27,-13783.5,0.0
2016-09-28,-13783.5,0.0
2016-09-29,-13783.5,0.0
2016-09-30,-13783.5,0.0
2016-10-03,-13783.5,0.0
2016-10-04,-13783.5,0.0
2016-10-05,-13783.5,0.0
2016-10-06,-13783.5,0.0
2016-10-07,-13783.5,0.0
2016-10-11,-13783.5,0.0
2016-10-12,-13783.5,0.0
2016-10-13,-13783.5,0.0
2016-10-14,-13783.5,0.0
2016-10-17,-13786.5,-1.0
2016-10-18,-14411.5,-1.0
2016-10-19,-14749.0,-1.0
2016-10-20,-14474.0,-1.0
2016-10-21,-14436.5,-1.0
2016-10-24,-14936.5,-1.0
2016-10-25,-14549.0,-1.0
2016-10-26,-14474.0,-1.0
2016-10-27,-14099.0,-1.0
2016-10-28,-13736.5,-1.0
2016-10-31,-13786.5,-1.0
2016-11-01,-13011.5,-1.0
2016-11-02,-12536.5,-1.0
2016-11-03,-11774.0,-1.0
2016-11-04,-11799.0,-1.0
2016-11-07,-13836.5,-1.0
2016-11-08,-14724.0,-1.0
2016-11-09,-15714.5,0.0
2016-11-10,-15714.5,0.0
2016-11-14,-15714.5,0.0
2016-11-15,-15714.5,0.0
2016-11-16,-15714.5,0.0
2016-11-17,-15714.5,0.0
2016-11-18,-15714.5,0.0
2016-11-21,-15714.5,0.0
2016-11-22,-15714.5,0.0
2016-11-23,-15714.5,0.0
2016-11-25,-15714.5,0.0
2016-11-28,-15714.5,0.0
2016-11-29,-15714.5,0.0
2016-11-30,-15714.5,0.0
2016-12-01,-15714.5,0.0
2016-12-02,-15714.5,0.0
2016-12-05,-15714.5,0.0
2016-12-06,-15714.5,0.0
2016-12-07,-15714.5,0.0
2016-12-08,-15714.5,0.0
2016-12-09,-15714.5,0.0
2016-12-12,-15714.5,0.0
2016-12-13,-15714.5,0.0
2016-12-14,-15714.5,0.0
2016-12-15,-15714.5,0.0
2016-12-16,-15714.5,0.0
2016-12-19,-15714.5,0.0
2016-12-20,-15714.5,0.0
2016-12-21,-15714.5,0.0
2016-12-22,-15714.5,0.0
2016-12-23,-15714.5,0.0
2016-12-27,-15714.5,0.0
2016-12-28,-15714.5,0.0
2016-12-29,-15714.5,0.0
2016-12-30,-15714.5,0.0
2017-01-03,-15717.5,-1.0
2017-01-04,-16580.0,-1.0
2017-01-05,-16380.0,-1.0
2017-01-06,-17017.5,-1.0
2017-01-09,-16583.0,0.0
2017-01-10,-16583.0,0.0
2017-01-11,-16583.0,0.0
